you	Y UW 
hanukkah	HH AA N AH K AH 
haskell	HH AE S K AH L 
hassles	HH AE S AH L Z 
hedy	HH IY D IY 
henley	HH EH N L IY 
herding	HH ER D IH NG 
hogging	HH AO G IH NG 
holm	HH OW M 
honcho	HH AO N CH OW 
houseman	HH AW S M AH N 
improv	IH M P R AA V 
incurred	IH N K ER D 
interrogations	IH N T EH R AH G EY SH AH N Z 
intersect	IH N T ER S EH K T 
jena	JH IY N AH 
kayak	K AY AE K 
keno	K IY N OW 
laredo	L ER EY D OW 
lasso	L AE S OW 
lat	L AA T 
lecher	L EH CH ER 
lop	L AA P 
lund	L AH N D 
mabry	M AE B ER IY 
macdougall	M AH K D UW G AH L 
maggi	M AE JH IY 
magnolia	M AE G N OW L Y AH 
mammoths	M AE M AH TH S 
martinique	M AA R T IH N IY K 
masaki	M AA S AA K IY 
mcneil	M AH K N IY L 
mens	M EH N Z 
meticulously	M AH T IH K Y AH L AH S L IY 
mirth	M ER TH 
monotony	M AH N AA T AH N IY 
mose	M OW Z 
muncie	M AH N S IY 
muppet	M AH P AH T 
nationalists	N AE SH AH N AH L IH S T S 
nippy	N IH P IY 
omit	OW M IH T 
omitted	OW M IH T AH D 
orangutan	AO R AE NG AH T AE N 
pall	P AA L 
perfectionist	P ER F EH K SH AH N AH S T 
peroxide	P ER AA K S AY D 
pisa	P IY S AH 
postponement	P OW S T P OW N M AH N T 
potsdam	P AA T S D AE M 
precedence	P R EH S AH D AH N S 
priory	P R AY ER IY 
profiling	P R OW F AY L IH NG 
puritan	P Y UH R AH T AH N 
raceman	R EY S M AH N 
rarity	R EH R AH T IY 
raves	R EY V Z 
recognises	R EH K AH G N AY Z IH Z 
reminisce	R EH M AH N IH S 
reopening	R IY OW P AH N IH NG 
reston	R EH S T AH N 
revert	R IH V ER T 
richa	R IH CH AH 
richness	R IH CH N AH S 
royally	R OY AH L IY 
ruskin	R AH S K IH N 
sandoval	S AE N D OW V AH L 
sanka	S AE NG K AH 
sculpted	S K AH L P T IH D 
setbacks	S EH T B AE K S 
shackled	SH AE K AH L D 
silverman	S IH L V ER M AE N 
snazzy	S N AE Z IY 
statistic	S T AH T IH S T IH K 
steeped	S T IY P T 
stepson	S T EH P S AH N 
stoves	S T OW V Z 
stubs	S T AH B Z 
sublet	S AH B L EH T 
suspiciously	S AH S P IH SH AH S L IY 
terminals	T ER M AH N AH L Z 
thane	TH EY N 
tobruk	T OW B R UH K 
traverse	T R AE V ER S 
trellis	T R EH L AH S 
troth	T R OW TH 
tuff	T AH F 
unattainable	AH N AH T EY N AH B AH L 
undersea	AH N D ER S IY 
unscathed	AH N S K EY DH D 
valdemar	V AA L D EY M AA R 
vassar	V AE S ER 
woolf	W UH L F 
yakov	Y AA K AO V 
yanking	Y AE NG K IH NG 
yields	Y IY L D Z 
yom	Y AA M 
zigzag	Z IH G Z AE G 
abou	AH B UW 
abrams	EY B R AH M Z 
acrobats	AE K R AH B AE T S 
advantageous	AE D V AH N T EY JH AH S 
advertisers	AE D V ER T AY Z ER Z 
amputation	AE M P Y AH T EY SH AH N 
anemia	AH N IY M IY AH 
anorexic	AE N ER EH K S IH K 
badgers	B AE JH ER Z 
bakers	B EY K ER Z 
bal	B AE L 
barbra	B AA R B R AH 
bernhardt	B ER N HH AA R T 
birdies	B ER D IY Z 
blameless	B L EY M L AH S 
blythe	B L AY DH 
brunner	B R AH N ER 
caboose	K AH B UW S 
carpentry	K AA R P AH N T R IY 
cherub	CH EH R AH B 
choral	K AO R AH L 
christo	K R IH S T OW 
chucking	CH AH K IH NG 
cinemas	S IH N AH M AH Z 
cleanest	K L IY N AH S T 
clell	K L EH L 
clinch	K L IH N CH 
coldly	K OW L D L IY 
colm	K OW L M 
commoners	K AA M AH N ER Z 
comparative	K AH M P AE R AH T IH V 
concise	K AH N S AY S 
conspiracies	K AH N S P IH R AH S IY Z 
continual	K AH N T IH N Y UW AH L 
corns	K AO R N Z 
corrupts	K ER AH P T S 
cosby	K AO Z B IY 
deathly	D EH TH L IY 
deco	D EH K OW 
deductions	D IH D AH K SH AH N Z 
defector	D IH F EH K T ER 
deposed	D IH P OW Z D 
deterrent	D IH T ER R AH N T 
devotee	D EH V AH T IY 
dimaggio	D IH M AE JH IY OW 
domini	D AA M IH N IY 
dovey	D AH V EY 
droopy	D R UW P IY 
drucker	D R AH K ER 
eldridge	EH L D R IH JH 
elude	IH L UW D 
emancipated	IH M AE N S AH P EY T IH D 
emigration	EH M AH G R EY SH AH N 
eroticism	ER AA T IH S IH Z AH M 
erskine	ER S K AY N 
executor	IH G Z EH K Y AH T ER 
finney	F IH N IY 
foaming	F OW M IH NG 
fuelled	F Y UW AH L D 
gaucho	G AW CH OW 
gaye	G EY 
geometric	JH IY AH M EH T R IH K 
gerd	G ER D 
glaze	G L EY Z 
gogo	G OW G OW 
golan	G OW L AH N 
grooms	G R UW M Z 
groundbreaking	G R AW N D B R EY K IH NG 
habitable	HH AE B AH T AH B AH L 
hamid	HH AH M IY D 
hamsters	HH AE M S T ER Z 
hauptmann	HH AW P T M AH N 
hayek	HH EY IH K 
headway	HH EH D W EY 
hiromasa	HH IH R OW M AA S AH 
ide	AY D 
incubator	IH NG K Y AH B EY T ER 
inefficient	IH N IH F IH SH AH N T 
inhumane	IH N HH Y UW M EY N 
inlet	IH N L EH T 
insightful	IH N S AY T F AH L 
insinuate	IH N S IH N Y UW EY T 
intangible	IH N T AE N JH AH B AH L 
intensified	IH N T EH N S IH F AY D 
joao	JH OW OW 
kaboom	K AH B UW M 
karlsson	K AA R L S AH N 
kimba	K IH M B AH 
kittredge	K IH T R IH JH 
lacy	L EY S IY 
laney	L EY N IY 
larsson	L AA R S AH N 
leblanc	L AH B L AE NG K 
lille	L IH L 
limoges	L IH M OW JH IH Z 
lode	L OW D 
macao	M AH K AW 
machado	M AH CH AA D OW 
mariette	M EH R IY EH T 
matthias	M AH TH AY AH S 
maurizio	M AO R IH Z IY OW 
mckeever	M AH K IY V ER 
meer	M IY ER 
metamorphosis	M EH T AH M AO R F AH S AH S 
metcalf	M EH T K AE F 
modeled	M AA D AH L D 
moonbeam	M UW N B IY M 
morley	M AO R L IY 
nakagawa	N AA K AA G AA W AH 
naoki	N EY OW K IY 
narration	N EH R EY SH AH N 
neighborly	N EY B ER L IY 
neurologist	N UH R AA L AH JH AH S T 
nyet	N Y EH T 
oboe	OW B OW 
outsmarted	AW T S M AA R T AH D 
pedestrians	P AH D EH S T R IY AH N Z 
peering	P IY R IH NG 
pell	P EH L 
perce	P ER S 
periodic	P IH R IY AA D IH K 
pierson	P IH R S AH N 
pinning	P IH N IH NG 
pomegranate	P AA M AH G R AE N AH T 
ramble	R AE M B AH L 
redecorating	R IY D EH K ER EY T IH NG 
remnant	R EH M N AH N T 
resentful	R IH Z EH N T F AH L 
revisit	R IY V IH Z IH T 
rosenthal	R OW Z AH N TH AO L 
sayer	S EY ER 
scipio	S IH P IY OW 
scratchy	S K R AE CH IY 
sensibly	S EH N S AH B L IY 
sensuous	S EH N SH AH W AH S 
shaq	SH AE K 
slouch	S L AW CH 
sowed	S AW D 
sponsoring	S P AA N S ER IH NG 
sponsorship	S P AA N S ER SH IH P 
spunky	S P AH NG K IY 
stint	S T IH N T 
stockdale	S T AA K D EY L 
tarry	T EH R IY 
teaser	T IY Z ER 
terminally	T ER M AH N AH L IY 
thunk	TH AH N K 
tibby	T IH B IY 
tilted	T IH L T AH D 
tolly	T OW L IY 
torsten	T AO R S T AH N 
traitorous	T R EY T ER AH S 
treadstone	T R EH D S T OW N 
truscott	T R AH S K AH T 
unchanging	AH N CH EY N JH IH NG 
undetectable	AH N D IH T EH K T AH B AH L 
unmask	AH N M AE S K 
untrained	AH N T R EY N D 
wahoo	W AH HH UW 
weekdays	W IY K D EY Z 
wieners	W IY N ER Z 
wilmington	W IH L M IH NG T AH N 
winks	W IH NG K S 
wormholes	W ER M HH AO L Z 
worshiped	W ER SH IH P T 
aaliyah	AA L IY AA 
accompanies	AH K AH M P AH N IY Z 
alli	AE L IY 
ard	AA R D 
armament	AA R M AH M AH N T 
astral	AE S T R AH L 
barroom	B AA R R UW M 
basking	B AE S K IH NG 
baumer	B AW M ER 
biddy	B IH D IY 
bobble	B AO B AH L 
braking	B R EY K IH NG 
breakout	B R EY K AW T 
bremen	B R EH M AH N 
brianna	B R IY AE N AH 
bryson	B R AY S AH N 
butterfield	B AH T ER F IY L D 
calgary	K AE L G ER IY 
callaghan	K AE L AH HH AE N 
camaraderie	K AA M ER AA D ER IY 
caron	K AA R AO N 
caryl	K EH R AH L 
citing	S AY T IH NG 
cleverness	K L EH V ER N AH S 
compatriots	K AH M P EY T R IY AH T S 
constituency	K AH N S T IH CH UW AH N S IY 
cramping	K R AE M P IH NG 
cuddling	K AH D L IH NG 
decomposition	D IY K AH M P OW Z IH SH AH N 
degas	D EY G AH S 
delinquency	D IH L IH NG K W AH N S IY 
depriving	D IH P R AY V IH NG 
differential	D IH F ER EH N SH AH L 
diffuse	D IH F Y UW S 
dispel	D IH S P EH L 
effeminate	IY F EH M IH N AH T 
ela	EH L AH 
equip	IH K W IH P 
eton	IY T AH N 
evangeline	IH V AE N JH IH L AY N 
evaporated	IH V AE P ER EY T AH D 
eyesore	AY S AO R 
factual	F AE K CH UW AH L 
fellers	F EH L ER Z 
fetal	F IY T AH L 
flaky	F L EY K IY 
fontana	F AO N T AE N AH 
forts	F AO R T S 
fuselage	F Y UW S AH L AA JH 
godly	G AA D L IY 
gollum	G AA L AH M 
graced	G R EY S T 
handbags	HH AE N D B AE G Z 
hezbollah	HH EH Z B AA L AH 
hooded	HH UH D IH D 
immorality	IH M ER AE L IH T IY 
impregnated	IH M P R EH G N EY T AH D 
inactive	IH N AE K T IH V 
indigo	IH N D AH G OW 
indonesian	IH N D OW N IY ZH AH N 
intermittent	IH N T ER M IH T AH N T 
kaye	K EY 
kneecap	N IY K AE P 
labrador	L AE B R AH D AO R 
lahaye	L AE HH EY 
lambda	L AE M D AH 
liposuction	L IH P OW S AH K SH AH N 
mayfair	M EY F EH R 
mcfly	M AH K F L AY 
mich	M IH CH 
modestly	M AA D AH S T L IY 
musk	M AH S K 
mutter	M AH T ER 
narnia	N AA R N IY AA 
nibbles	N IH B AH L Z 
nigerian	N AY JH IH R IY AH N 
nominations	N AA M AH N EY SH AH N Z 
nutmeg	N AH T M EH G 
obliging	AH B L AY JH IH NG 
orca	AO R K AH 
overpass	OW V ER P AE S 
overpowered	OW V ER P AW ER D 
overwrought	OW V ER R AO T 
pandas	P AE N D AH Z 
periodically	P IY R IY AA D IH K AH L IY 
photon	F OW T AA N 
planetarium	P L AE N AH T EH R IY AH M 
popes	P OW P Z 
portals	P AO R T AH L Z 
powerhouse	P AW ER HH AW S 
promotes	P R AH M OW T S 
psi	S AY 
rectal	R EH K T AH L 
renovating	R EH N AH V EY T IH NG 
reversing	R IH V ER S IH NG 
sandor	S AE N D ER 
sandstorm	S AE N D S T AO R M 
seasoning	S IY Z AH N IH NG 
selden	S EH L D AH N 
sema	S IY M AH 
shingles	SH IH NG G AH L Z 
shorted	SH AO R T IH D 
sitar	S IH T AA R 
skyline	S K AY L AY N 
sleepers	S L IY P ER Z 
sleepwalker	S L IY P W AO K ER 
socialite	S OW SH AH L AY T 
soledad	S OW L D AE D 
sponges	S P AH N JH IH Z 
springsteen	S P R IH NG S T IY N 
squishy	S K W IH SH IY 
stratosphere	S T R AE T AH S F IH R 
summoning	S AH M AH N IH NG 
surges	S ER JH AH Z 
symbolize	S IH M B AH L AY Z 
taut	T AO T 
testy	T EH S T IY 
tranquillity	T R AE NG K W IH L IH T IY 
tweak	T W IY K 
typhoons	T AY F UW N Z 
uninteresting	AH N IH N T R AH S T IH NG 
unsavory	AH N S EY V ER IY 
uri	Y ER IY 
visor	V AY Z ER 
voiceover	V OY S OW V ER 
wheaton	W IY T AH N 
wilds	W AY L D Z 
yielding	Y IY L D IH NG 
abnormality	AE B N AO R M AE L AH T IY 
addy	AE D IY 
adulterer	AH D AH L T ER ER 
ahab	EY HH AE B 
airman	EH R M AH N 
aliases	EY L IY AH S IH Z 
allotment	AH L AA T M AH N T 
andreotti	AA N D R IY AA T IY 
annually	AE N Y UW AH L IY 
arroyo	ER OY OW 
banshee	B AE N SH IY 
baste	B EY S T 
beget	B IH G EH T 
beni	B EH N IY 
bereft	B ER EH F T 
biking	B AY K IH NG 
blane	B L EY N 
boney	B OW N IY 
bookshelf	B UH K SH EH L F 
bowles	B OW L Z 
branson	B R AE N S AH N 
bulldozers	B UH L D OW Z ER Z 
canvases	K AE N V AH S IH Z 
castration	K AE S T R EY SH AH N 
charlestown	CH AA R L S T AW N 
clarification	K L EH R AH F AH K EY SH AH N 
cochrane	K AA K R AH N 
cog	K AO G 
collin	K AA L IH N 
consisting	K AH N S IH S T IH NG 
continuance	K AH N T IH N Y UW AH N S 
controllers	K AH N T R OW L ER Z 
deciphered	D IH S AY F ER D 
deteriorate	D IH T IH R IY ER EY T 
diphtheria	D IH F TH IH R IY AA 
disagreements	D IH S AH G R IY M AH N T S 
dissatisfaction	D IH S AE T IH S F AE K SH AH N 
dragnet	D R AE G N EH T 
drawbridge	D R AO B R IH JH 
embalming	EH M B AA M IH NG 
enabling	EH N EY B AH L IH NG 
escalante	EH S K AA L AA N T IY 
escapade	EH S K AH P EY D 
estranged	EH S T R EY N JH D 
exiles	EH G Z AY L Z 
extenuating	IH K S T EH N Y UW EY T IH NG 
facto	F AE K T OW 
fain	F EY N 
faithfulness	F EY TH F AH L N EH S 
flashbacks	F L AE SH B AE K S 
forester	F AO R AH S T ER 
frayed	F R EY D 
fujiwara	F UW JH IY W AA R AH 
garvin	G AA R V IH N 
gatewood	G EY T W UH D 
grading	G R EY D IH NG 
gravestone	G R EY V S T OW N 
groveling	G R AO V AH L IH NG 
guggenheim	G UW G AH N HH AY M 
gymnast	JH IH M N AH S T 
hajime	HH AA JH IY M IY 
hangout	HH AE NG AW T 
harkness	HH AA R K N AH S 
hieroglyphics	HH AY R OW G L IH F IH K S 
hughie	HH Y UW IY 
hypodermic	HH AY P AH D ER M IH K 
incapacitated	IH N K AH P AE S IH T EY T IH D 
inescapable	IH N IH S K EY P AH B AH L 
institutionalized	IH N S T IH T UW SH AH N AH L AY Z D 
invents	IH N V EH N T S 
iou	AY OW Y UW 
jeeps	JH IY P S 
joann	JH OW AE N 
keitel	K AY T AH L 
kerrigan	K EH R IH G AH N 
kersey	K ER S IY 
lando	L AE N D OW 
liners	L AY N ER Z 
loca	L OW K AH 
lunching	L AH N CH IH NG 
macedonia	M AE S AH D OW N IY AH 
manifestations	M AE N AH F EH S T EY SH AH N Z 
marcelino	M AA R CH EH L IY N OW 
materialistic	M AH T IH R IY AH L IH S T IH K 
mathur	M AE TH ER 
mccloud	M AH K L AW D 
mcdermott	M AH K D ER M AH T 
meacham	M IY CH AH M 
melba	M EH L B AH 
millimetre	M IH L AH M IY T ER 
mists	M IH S T S 
mong	M AO NG 
moonlighting	M UW N L AY T IH NG 
mosey	M OW Z IY 
nerdy	N ER D IY 
neto	N EH T OW 
neutrons	N UW T R AA N Z 
optimum	AA P T IH M AH M 
pavlov	P AE V L AA V 
perpetuate	P ER P EH CH AH W EY T 
planter	P L AE N T ER 
plunkett	P L AH NG K IH T 
pointe	P OY N T 
pounder	P AW N D ER 
preschool	P R IY S K UW L 
primates	P R AY M EY T S 
profess	P R AH F EH S 
prohibits	P R OW HH IH B AH T S 
prostrate	P R AA S T R EY T 
protestors	P R OW T EH S T ER Z 
prynne	P R IH N 
psychosomatic	S AY K OW S AH M AE T IH K 
quartz	K W AO R T S 
ralston	R AO L S T AH N 
ramesses	R AE M AH S IH Z 
recuperate	R IH K UW P ER EY T 
redeeming	R IH D IY M IH NG 
refine	R AH F AY N 
reinaldo	R EY N AA L D OW 
repented	R IH P EH N T IH D 
repress	R IY P R EH S 
repulsed	R IY P AH L S T 
repute	R IY P Y UW T 
retinal	R EH T AH N AH L 
retriever	R IY T R IY V ER 
rife	R AY F 
romancing	R OW M AE N S IH NG 
rothstein	R AO TH S T AY N 
runes	R UW N Z 
saks	S AE K S 
salman	S AE M AH N 
sampling	S AE M P L IH NG 
sanborn	S AE N B AO R N 
scalped	S K AE L P T 
sequins	S IY K W AH N Z 
sharkey	SH AA R K IY 
shopkeepers	SH AA P K IY P ER Z 
sikh	S IY K 
silliness	S IH L IY N AH S 
slinky	S L IH NG K IY 
solaris	S OW L EH R IH S 
specialties	S P EH SH AH L T IY Z 
speedway	S P IY D W EY 
squarely	S K W EH R L IY 
stallone	S T AH L OW N 
stately	S T EY T L IY 
storybook	S T AO R IY B UH K 
strengthens	S T R EH NG TH AH N Z 
sul	S AH L 
superpowers	S UW P ER P AW ER Z 
suture	S UW CH ER 
texan	T EH K S AH N 
theorists	TH IY ER IH S T S 
toasting	T OW S T IH NG 
togo	T OW G OW 
tomboy	T AA M B OY 
toned	T OW N D 
tonkin	T AA NG K IH N 
tsai	T S AY 
tullio	T UW L IY OW 
uncontrolled	AH N K AH N T R OW L D 
wares	W EH R Z 
washout	W AA SH AW T 
whaling	W EY L IH NG 
whisk	W IH S K 
whither	W IH DH ER 
winger	W IH NG ER 
yugoslav	Y UW G OW S L AA V 
accelerates	AE K S EH L ER EY T S 
acclaimed	AH K L EY M D 
acknowledgement	AE K N AA L IH JH M AH N T 
aforementioned	AH F AO R M EH N SH AH N D 
aggravating	AE G R AH V EY T IH NG 
aggressor	AH G R EH S ER 
akita	AH K IY T AH 
almanac	AA L M AH N AE K 
amon	AA M AO N 
anaesthetic	AE N AH S TH EH T IH K 
annabel	AE N AH B EH L 
apocalyptic	AH P AA K AH L IH P T IH K 
artichoke	AA R T IH CH OW K 
artistry	AA R T IH S T R IY 
backtrack	B AE K T R AE K 
barges	B AA R JH AH Z 
bartok	B AA R T AH K 
bastogne	B AE S T OW N 
befitting	B IH F IH T IH NG 
belden	B EH L D AH N 
biochemistry	B AY OW K EH M IH S T R IY 
bloodstains	B L AH D S T EY N Z 
borrows	B AA R OW Z 
bos	B AA S 
boyhood	B OY HH UH D 
brentwood	B R EH N T W UH D 
brie	B R IY 
broome	B R UW M 
buckled	B AH K AH L D 
buddhists	B UW D AH S T S 
bushel	B UH SH AH L 
butchery	B UH CH ER IY 
callaway	K AE L AH W EY 
carne	K AA R N 
carotid	K ER AA T IH D 
caterers	K EY T ER ER Z 
characterized	K EH R IH K T ER AY Z D 
commented	K AA M EH N T AH D 
composure	K AH M P OW ZH ER 
conflicted	K AH N F L IH K T IH D 
conte	K AO N T 
corday	K AO R D EY 
culver	K AH L V ER 
cutbacks	K AH T B AE K S 
danko	D AE NG K OW 
dasher	D AE SH ER 
detested	D IH T EH S T IH D 
deutsche	D OY CH 
developers	D IH V EH L AH P ER Z 
diets	D AY IH T S 
dismembered	D IH S M EH M B ER D 
drape	D R EY P 
droll	D R OW L 
earpiece	IH R P IY S 
extort	EH K S T AO R T 
extracting	EH K S T R AE K T IH NG 
farmland	F AA R M L AE N D 
flighty	F L AY T IY 
fretting	F R EH T IH NG 
gaspard	G AH S P AA R D 
gilt	G IH L T 
gorgon	G AO R G AH N 
grandsons	G R AE N D S AH N Z 
grandstand	G R AE N D S T AE N D 
hamel	HH AE M AH L 
hamley	HH AE M L IY 
harriman	HH EH R IH M AH N 
hays	HH EY Z 
headquarter	HH EH D K W AO R T ER 
heini	HH AY N IY 
horsing	HH AO R S IH NG 
idleness	AY D AH L N AH S 
innocently	IH N AH S AH N T L IY 
inoue	IH N OW EY 
inscriptions	IH N S K R IH P SH AH N Z 
intents	IH N T EH N T S 
invades	IH N V EY D Z 
irreparable	IH R EH P ER AH B AH L 
iwata	IY W AA T AA 
jacko	JH AE K OW 
jeopardizing	JH EH P ER D AY Z IH NG 
kearney	K ER N IY 
khaki	K AA K IY 
lampley	L AE M P L IY 
lansing	L AE N S IH NG 
likable	L AY K AH B AH L 
lusty	L AH S T IY 
lutheran	L UW TH ER AH N 
magnanimous	M AE G N AE N AH M AH S 
mailroom	M EY L R UW M 
medicare	M EH D AH K EH R 
migrating	M AY G R EY T IH NG 
mindful	M AY N D F AH L 
morell	M AO R AH L 
namesake	N EY M S EY K 
nether	N EH DH ER 
newbie	N UW B IY 
nibbling	N IH B AH L IH NG 
nordic	N AO R D IH K 
norwegians	N AO R W IY JH AH N Z 
nots	N AA T S 
outlived	AW T L IH V D 
pantomime	P AE N T AH M AY M 
parma	P AA R M AH 
pavlovich	P AE V L AH V IH CH 
pedersen	P EH D ER S AH N 
pedicure	P EH D IH K Y ER 
peeked	P IY K T 
pele	P EH L EY 
peng	P EH NG 
perceptions	P ER S EH P SH AH N Z 
philippine	F IH L AH P IY N 
pistons	P IH S T AH N Z 
placenta	P L AH S EH N T AH 
playroom	P L EY R UW M 
provokes	P R AH V OW K S 
punishes	P AH N IH SH AH Z 
quantico	K W AA N T IH K OW 
racketeering	R AE K IH T IH R IH NG 
ranches	R AE N CH AH Z 
redheads	R EH D HH EH D Z 
remover	R IH M UW V ER 
repetitive	R IH P EH T IH T IH V 
resorts	R IH Z AO R T S 
riker	R AY K ER 
roadhouse	R OW D HH AW S 
rummage	R AH M IH JH 
sacrilegious	S AE K R AH L EH JH IH S 
saddens	S AE D AH N Z 
salons	S AH L AA N Z 
scrimmage	S K R IH M IH JH 
selby	S EH L B IY 
semitism	S EH M IH T IH Z AH M 
showgirl	SH OW G ER L 
simplistic	S IH M P L IH S T IH K 
sinning	S IH N IH NG 
slurp	S L ER P 
styling	S T AY L IH NG 
suez	S UW EH Z 
swain	S W EY N 
symmetrical	S AH M EH T R IH K AH L 
tabitha	T AE B IH TH AH 
tallahassee	T AE L AH HH AE S IY 
tattered	T AE T ER D 
tele	T EH L IY 
temperate	T EH M P R AH T 
texans	T EH K S AH N Z 
tobin	T OW B IH N 
tomahawk	T AA M AH HH AO K 
toxicology	T AA K S IH K AA L AH JH IY 
transistor	T R AE N Z IH S T ER 
transvestites	T R AE N Z V EH S T AY T S 
treadmill	T R EH D M IH L 
tricycle	T R IH S IH K AH L 
tumbled	T AH M B AH L D 
underpaid	AH N D ER P EY D 
unwittingly	AH N W IH T IH NG L IY 
verdun	V ER D AH N 
voyeur	V OY Y UW R 
warne	W AO R N 
wheeling	W IY L IH NG 
woolen	W UH L AH N 
woozy	W UW Z IY 
yuichi	Y UW CH IY 
abbe	AE B IY 
allegation	AE L AH G EY SH AH N 
amphibious	AE M F IH B IY AH S 
andrej	AA N D R EY 
antennae	AE N T EH N IY 
appetizing	AE P IH T AY Z IH NG 
astonish	AH S T AA N IH SH 
baiting	B EY T IH NG 
barrington	B AE R IH NG T AH N 
bast	B AE S T 
beretta	B ER EH T AH 
blemish	B L EH M IH SH 
burritos	B ER IY T OW S 
buttock	B AH T AH K 
cackle	K AE K AH L 
cameo	K AE M IY OW 
cargill	K AA R G IH L 
ceasefire	S IY S F AY ER 
chatham	CH AE T AH M 
churchyard	CH ER CH Y AA R D 
clapper	K L AE P ER 
coerced	K OW ER S T 
commended	K AH M EH N D IH D 
competed	K AH M P IY T IH D 
concubines	K AA N K Y AH B AY N Z 
congestion	K AH N JH EH S CH AH N 
corinth	K AO R AH N TH 
corsage	K AO R S AA ZH 
cosmology	K AO Z M AO L AH JH IY 
coulter	K OW L T ER 
courtiers	K AO R T IY ER Z 
crafted	K R AE F T IH D 
credo	K R EY D OW 
dahl	D AA L 
darwinism	D AA R W IH N IH Z AH M 
decoded	D IH K OW D AH D 
dewy	D UW IY 
disarmament	D IH S AA R M AH M AH N T 
dispenser	D IH S P EH N S ER 
distort	D IH S T AO R T 
doodles	D UW D AH L Z 
drachmas	D R AA K M AH Z 
draped	D R EY P T 
dressler	D R EH S L ER 
drexler	D R EH K S L ER 
duchemin	D AH SH IH M AE N 
dyce	D AY S 
eldon	IH L D AA N 
endorphins	EH N D AO R F IH N Z 
engle	EH NG G AH L 
enticing	EH N T AY S IH NG 
enzymes	EH N Z AY M Z 
essen	EH S AH N 
estimation	EH S T AH M EY SH AH N 
eugenia	Y UW JH IY N IY AH 
euphoric	Y UW F AO R IH K 
eventual	AH V EH N CH UW AH L 
extensively	IH K S T EH N S IH V L IY 
flaherty	F L EH R T IY 
flings	F L IH NG Z 
fluctuations	F L AH K CH UW EY SH AH N Z 
fluently	F L UW AH N T L IY 
frowning	F R AW N IH NG 
gabbing	G AE B IH NG 
gad	G AE D 
gauges	G EY JH AH Z 
gobbled	G AA B AH L D 
governs	G AH V ER N Z 
greenspan	G R IY N S P AE N 
guerrero	G ER EH R OW 
gussie	G AH S IY 
gusting	G AH S T IH NG 
hardball	HH AA R D B AO L 
heeled	HH IY L D 
huard	HH W AA R D 
humpback	HH AH M P B AE K 
inaugurate	IH N AO G Y AH R EY T 
inconvenienced	IH N K AH N V IY N Y AH N S T 
innumerable	IH N UW M ER AH B AH L 
jacobi	Y AA K OW B IY 
johansson	Y OW HH AA N S AH N 
josette	ZH AH S EH T 
jumble	JH AH M B AH L 
keegan	K IY G AH N 
keynes	K EY N Z 
kiddy	K IH D IY 
kinks	K IH NG K S 
kleinman	K L AY N M AH N 
kneecaps	N IY K AE P S 
lamppost	L AE M P P OW S T 
lancers	L AE N S ER Z 
liao	L IY AW 
liebling	L IY B AH L IH NG 
lisette	L IH S EH T 
lisp	L IH S P 
lol	L AO L 
lowenstein	L OW AH N S T AY N 
maim	M EY M 
maize	M EY Z 
manette	M AH N EH T 
marquee	M AA R K IY 
mauve	M AO V 
mears	M IH R Z 
mesdames	M EY D AE M Z 
mettle	M EH T AH L 
mislaid	M IH S L EY D 
molestation	M OW L EH S T EY SH AH N 
montrose	M AA N T R OW Z 
mums	M AH M Z 
mutilate	M Y UW T AH L EY T 
nanna	N AE N AH 
napa	N AE P AH 
nastiest	N AE S T IY AH S T 
nighter	N AY T ER 
noonan	N UW N AH N 
obscured	AH B S K Y UH R D 
outwit	AW T W IH T 
overcooked	OW V ER K UH K T 
overpaid	OW V ER P EY D 
overs	OW V ER Z 
ozawa	OW Z AA W AH 
palin	P AE L IH N 
parton	P AA R T AH N 
pasteur	P AH S T UW R 
patagonia	P AE T AH G OW N IY AH 
pauli	P AO L IY 
pena	P EH N AH 
pico	P IY K OW 
plundering	P L AH N D ER IH NG 
polling	P OW L IH NG 
pondered	P AA N D ER D 
poser	P OW Z ER 
precocious	P R IH K OW SH AH S 
preside	P R IH Z AY D 
provost	P R OW V OW S T 
pryor	P R AY ER 
psalms	S AA L M Z 
rada	R AA D AH 
ramparts	R AE M P AA R T S 
rebuttal	R IH B AH T AH L 
recklessly	R EH K L AH S L IY 
recoil	R IY K OY L 
reconvene	R IY K AH N V IY N 
rectory	R EH K T ER IY 
restitution	R EH S T IH T UW SH AH N 
roan	R OW N 
robbin	R AA B IH N 
rosina	R OW Z IY N AH 
saboteurs	S AE B AH T ER Z 
sacco	S AE K OW 
sava	S AA V AH 
scorer	S K AO R ER 
seiko	S EY K OW 
sift	S IH F T 
sinuses	S AY N AH S AH Z 
sistine	S IH S T IY N 
smirk	S M ER K 
snatcher	S N AE CH ER 
snowboard	S N OW B AO R D 
soll	S AA L 
spake	S P EY K 
specializing	S P EH SH AH L AY Z IH NG 
spindle	S P IH N D AH L 
spuds	S P AH D Z 
stewards	S T UW ER D Z 
stipend	S T AY P AH N D 
stonewall	S T OW N W AO L 
subpoenaed	S AH P IY N AH D 
successive	S AH K S EH S IH V 
sumatra	S UW M AA T R AH 
superstars	S UW P ER S T AA R Z 
susannah	S UW S AE N AH 
synthesizer	S IH N TH AH S AY Z ER 
takata	T AA K AA T AH 
telecommunications	T EH L AH K AH M Y UW N AH K EY SH AH N Z 
tenacity	T AH N AE S IH T IY 
thefts	TH EH F T S 
thoreau	TH ER OW 
